"Model 2: OLS, using observations 1-1453"
"Dependent variable: Age"

,"coefficient","std. error","t-ratio","p-value"
"const",49.0764438290295,1.92139916297762,25.5420345624461,5.93023050134143e-119
"Dyummy_1",5.78289835854239,0.832590625052634,6.94566835673512,5.68948659515823e-012
"Dspicy_1",-7.94862341134523,1.12016586336496,-7.09593433553461,2.01117812993972e-012
"Dfattening_1",-3.83617394487739,1.01820913649887,-3.76756975297642,0.000171508327399152
"Dgreasy_1",7.64942583271777,0.720252282303467,10.620481212852,2.0374040732587e-025
"Ddisgusting_1",4.0587550078793,0.982747031854244,4.13000993777743,3.83641622095613e-005
"DLike_1",2.04243922087749,1.62625065882314,1.25591907360427,0.209349467989446
"DLike_5",-4.54614571723758,1.19682289549746,-3.79851165476575,0.000151639198558864
"DLike_6",2.87630144480929,1.52625674478397,1.88454626303153,0.059692799242716
"DLike_10",4.07669955214073,1.70588629843994,2.38978386535429,0.0169865207953103
"DLike_11",-1.59491159716301,1.71999173109694,-0.927278642290821,0.353937593733119
"DVisitFrequency_1",-1.60640625749819,1.08643464777254,-1.47860367007967,0.139465426489703
"DVisitFrequency_2",-7.68145083954038,1.27457751988372,-6.02666430225533,2.12364263503406e-009
"DVisitFrequency_3",-5.25254897375766,1.11388975168962,-4.71550166054608,2.64534092446056e-006
"DVisitFrequency_5",-7.86755146413128,2.00839972355298,-3.91732351476981,9.37409005505982e-005
"DVisitFrequency_6",2.06591397129927,1.46320542355555,1.41190972780784,0.158193041935477

"Mean dependent var",44.604955264969,"S.D. dependent var",14.2211780033545
"Sum squared resid",219309.970676099,"S.E. of regression",12.3538067767065
"R-squared",0.253171959580087,"Adjusted R-squared",0.245376259784472
"F(15, 1437)",32.4758477388387,"P-value(F)",2.25020133409581e-080
"Log-likelihood",-5706.46338074801,"Akaike criterion",11444.926761496
"Schwarz criterion",11529.4289321132,"Hannan-Quinn",11476.457039336

